"DEPCOM","COM","POP"
2366,"Hannapes",318
2367,"Happencourt",133
2368,"Haramont",580
2369,"Harcigny",242
2370,"Hargicourt",598
2371,"Harly",1610
2372,"Hartennes-et-Taux",371
2373,"Hary",208
2375,"Hautevesnes",167
2376,"Hauteville",166
2377,"Haution",144
2378,"La Hérie",143
2379,"Le Hérie-la-Viéville",230
2380,"Hinacourt",25
2381,"Hirson",8813
2382,"Holnon",1387
2383,"Homblières",1464
2384,"Houry",53
2385,"Housset",149
2386,"Iron",239
2387,"Itancourt",1031
2388,"Iviers",232
2389,"Jaulgonne",645
2390,"Jeancourt",271
2391,"Jeantes",205
2392,"Joncourt",299
2393,"Jouaignes",144
2395,"Jumencourt",146
2396,"Jumigny",64
2397,"Jussy",1260
2398,"Juvigny",277
2399,"Juvincourt-et-Damary",599
2400,"Laffaux",149
2401,"Laigny",196
2402,"Lanchy",37
2403,"Landifay-et-Bertaignemont",269
2404,"Landouzy-la-Cour",187
2405,"Landouzy-la-Ville",541
2406,"Landricourt",137
2407,"Laniscourt",182
2408,"Laon",24876
2409,"Lappion",268
2410,"Largny-sur-Automne",244
2411,"Latilly",208
2412,"Launoy",99
2413,"Laval-en-Laonnois",250
2414,"Lavaqueresse",202
2415,"Laversine",159
2374,"Lehaucourt",877
2416,"Lemé",430
2417,"Lempire",100
2418,"Lerzy",213
2419,"Leschelle",270
2420,"Lesdins",832
2421,"Lesges",102
2422,"Lesquielles-Saint-Germain",810
2423,"Leuilly-sous-Coucy",420
2424,"Leury",106
2425,"Leuze",173
2426,"Levergies",545
2427,"Lhuys",141
2428,"Licy-Clignon",74
2429,"Lierval",118
2430,"Liesse-Notre-Dame",1298
2431,"Liez",391
2432,"Limé",187
2433,"Lislet",225
2435,"Logny-lès-Aubenton",74
2438,"Longpont",262
2440,"Lor",142
2441,"Louâtre",199
2442,"Loupeigne",91
2443,"Lucy-le-Bocage",195
2444,"Lugny",114
2445,"Luzoir",285
2446,"Ly-Fontaine",121
2447,"Maast-et-Violaine",147
2448,"Mâchecourt",122
2449,"Macogny",73
2450,"Macquigny",376
2451,"Magny-la-Fosse",125
2452,"Maissemy",239
2453,"Maizy",411
2454,"La Malmaison",410
2455,"Malzy",203
2456,"Manicamp",307
2457,"Marchais",435
2459,"Marcy",173
2460,"Marcy-sous-Marle",192
2461,"Marest-Dampcourt",369
2462,"Mareuil-en-Dôle",240
2463,"Marfontaine",86
2464,"Margival",370
2465,"Marigny-en-Orxois",485
2467,"Marizy-Saint-Mard",50
2466,"Marizy-Sainte-Geneviève",130
2468,"Marle",2268
2469,"Marly-Gomont",475
2470,"Martigny",434
2471,"Martigny-Courpierre",124
2472,"Mauregny-en-Haye",420
2473,"Mayot",211
2474,"Mennessis",408
2476,"Mennevret",651
2477,"Mercin-et-Vaux",962
2478,"Merlieux-et-Fouquerolles",259
2480,"Mesbrecourt-Richecourt",305
2481,"Mesnil-Saint-Laurent",476
2482,"Meurival",52
2483,"Mézières-sur-Oise",516
2484,"Mézy-Moulins",517
2485,"Missy-aux-Bois",97
2486,"Missy-lès-Pierrepont",108
2487,"Missy-sur-Aisne",640
2488,"Molain",152
2489,"Molinchart",329
2490,"Monampteuil",131
2491,"Monceau-le-Neuf-et-Faucouzy",319
2493,"Monceau-le-Waast",220
2492,"Monceau-lès-Leups",473
2494,"Monceau-sur-Oise",128
2495,"Mondrepuis",1040
2496,"Monnes",104
2497,"Mons-en-Laonnois",1152
2503,"Mont-d'Origny",847
2520,"Mont-Notre-Dame",736
2522,"Mont-Saint-Jean",75
2523,"Mont-Saint-Martin",74
2524,"Mont-Saint-Père",700
2498,"Montaigu",761
2499,"Montbavin",44
2500,"Montbrehain",810
2501,"Montchâlons",84
2502,"Montcornet",1338
2504,"Montescourt-Lizerolles",1648
2505,"Montfaucon",203
2506,"Montgobert",193
2507,"Montgru-Saint-Hilaire",32
2508,"Monthenault",152
2509,"Monthiers",161
2510,"Monthurel",151
2511,"Montigny-en-Arrouaise",291
2512,"Montigny-l'Allier",274
2513,"Montigny-le-Franc",142
2514,"Montigny-Lengrain",702
2515,"Montigny-lès-Condé",59
2516,"Montigny-sous-Marle",63
2517,"Montigny-sur-Crécy",315
2518,"Montlevon",301
2519,"Montloué",187
2521,"Montreuil-aux-Lions",1369
2525,"Morcourt",574
2526,"Morgny-en-Thiérache",89
2527,"Morsain",444
2528,"Mortefontaine",233
2529,"Mortiers",187
2530,"Moulins",76
2531,"Moussy-Verneuil",123
